Student_ID,Last_Name,First_Name,Book_ID,Book_Title,Report_Submitted
1113,Pennypacker,Phuong,97,Haunted In Eternity,YES
1118,Gunnell,Galen,43,Devil In The Castle,NO
1453,Balderas,Britteny,52,Challenges of Life,NO
2322,Swearngin,Gearldine,64,Alive In My Dreams,NO
2832,Helwig,Lurlene,61,Vanished Following Me,NO
3077,Searles,Shirley,73,Monks of the Future,NO
3080,Schuch,Enrique,68,Horse In The Castle,NO
3253,Rhone,Keiko,12,Priests Of Utopia,NO
3426,Glance,Ophelia,100,Cautious Of The Elements,NO
3508,Brooke,Jane,51,Snakes With Rotten Skin,YES
4172,Amor,Sonya,27,Nation Of The Forest,NO
4186,Westlake,Soon,81,Don't Go At The Hospital,YES
4721,Sundstrom,Elaine,30,Fortune Of Despair,NO
5029,Molinaro,Marilou,66,Alive In My Past,NO
5737,Favero,Lorrie,14,Creators And Robots,NO
5741,Braud,Melaine,44,Child Behind You,NO
5754,Hufnagel,Levi,77,Skeletons And Fish,NO
6200,Solari,Marcene,70,Stranger Blinking Twice,YES
7046,Blodgett,Cletus,10,Spiders Of The Void,YES
7905,Lopp,Romaine,83,Songs In My Dreams,NO
7918,Service,Chet,74,Fish During Halloween,YES
8112,Latham,Janessa,9,Dog Of The Land,YES
8697,Tworek,Scarlett,59,Books On The Ceiling,YES
8776,Houseknecht,Jannet,6,Medic Of The World,NO
8898,Tilford,Theo,57,Joys of Autumn,YES
8921,Huddleston,Francesco,55,Neighbors And Owls,NO
9118,Widener,Celina,36,Signs In A Storm,YES
9292,Bertram,Dot,19,Rebels And Phantoms,NO
9689,Pettiway,Aurelia,35,Controlling The Nation,YES
9871,Branstetter,Lucius,75,Dogs And Zombies,NO
